~No.overall~No. inseason~Title~Directed by~Written by~Original air date~Prod.code~U.S. viewers(millions)~season~Rating(18–49)~Rating/share(18–49)~Special No.~U.S. viewersmillions
41~44~20~The One Where Old Yeller Dies~Michael Lembeck~Story by : Michael Curtis & Gregory S. MalinsTeleplay by : Adam Chase~April 4, 1996~457320.0~27.4~2~13.8~~~
42~45~21~The One With The Bullies~Michael Lembeck~Brian Buckner & Sebastian Jones~April 25, 1996~457321.0~24.7~2~12.4~~~
43~46~22~The One With The Two Parties~Michael Lembeck~Alexa Junge~May 2, 1996~457322.0~25.5~2~12.2~~~
44~47~23~The One With The Chicken Pox~Michael Lembeck~Brown Mandell~May 9, 1996~457324.0~26.1~2~13.0~~~
45~48~24~The One With Barry And Mindy'S Wedding~Michael Lembeck~Story by : Ira UngerleiderTeleplay by : Brown Mandell~May 16, 1996~457323.0~29.0~2~13.9~~~
46~49~1~The One With The Princess Leia Fantasy~Gail Mancuso~Michael Curtis & Gregory S. Malins~September 19, 1996~465251.0~26.76~3~~13.8/42~~
47~50~2~The One Where No One'S Ready~Gail Mancuso~Ira Ungerleider~September 26, 1996~465252.0~26.73~3~~13.3/39~~
48~51~3~The One With The Jam~Kevin S. Bright~Wil Calhoun~October 3, 1996~465253.0~25.23~3~~12.9/40~~
49~52~4~The One With The Metaphorical Tunnel~Steve Zuckerman~Alexa Junge~October 10, 1996~465254.0~26.10~3~~13.6/40~~
50~53~5~The One With Frank Jr.~Steve Zuckerman~Shana Goldberg-Meehan & Scott Silveri~October 17, 1996~465255.0~23.25~3~~12.1/34~~
51~54~6~The One With The Flashback~Peter Bonerz~David Crane & Marta Kauffman~October 31, 1996~465256.0~23.27~3~~12.0/36~~
52~55~7~The One With The Race Car Bed~Gail Mancuso~Seth Kurland~November 7, 1996~465257.0~27.36~3~~13.7/38~~
53~56~8~The One With The Giant Poking Device~Gail Mancuso~Adam Chase~November 14, 1996~465258.0~28.69~3~~14.3/38~~
54~57~9~The One With The Football~Kevin S. Bright~Ira Ungerleider~November 21, 1996~465259.0~29.28~3~~15.2/41~~
55~58~10~The One Where Rachel Quits~Terry Hughes~Gregory S. Malins & Michael Curtis~December 12, 1996~465260.0~25.10~3~~12.4/36~~
56~59~11~The One Where Chandler Can'T Remember Which Sister~Terry Hughes~Alexa Junge~January 9, 1997~465261.0~29.80~3~~15.3/37~~
57~60~12~The One With All The Jealousy~Robby Benson~Doty Abrams~January 16, 1997~465262.0~29.61~3~~15.0/38~~
58~61~13~The One Where Monica And Richard Are Just Friends~Robby Benson~Michael Borkow~January 30, 1997~465265.0~28.03~3~~14.3/38~~
59~62~14~The One With Phoebe'S Ex-Partner~Robby Benson~Wil Calhoun~February 6, 1997~465266.0~28.91~3~~15.2/40~~
60~63~15~The One Where Ross And Rachel Take A Break~James Burrows~Michael Borkow~February 13, 1997~465263.0~27.25~3~~13.9/38~~
61~64~16~The One With The Morning After~James Burrows~David Crane & Marta Kauffman~February 20, 1997~465264.0~28.26~3~~14.5/40~~
62~65~17~The One Without The Ski Trip~Sam Simon~Shana Goldberg-Meehan & Scott Silveri~March 6, 1997~465267.0~25.84~3~~12.9/37~~
63~66~18~The One With The Hypnosis Tape~Robby Benson~Seth Kurland~March 13, 1997~465269.0~28.07~3~~13.4/37~~
64~67~19~The One With The Tiny T-Shirt~Terry Hughes~Adam Chase~March 27, 1997~465268.0~23.65~3~~11.9/38~~
65~68~20~The One With The Dollhouse~Terry Hughes~Wil Calhoun~April 10, 1997~465270.0~24.36~3~~12.6/39~~
66~69~21~The One With A Chick And A Duck~Michael Lembeck~Chris Brown~April 17, 1997~465271.0~23.22~3~~11.5/36~~
67~70~22~The One With The Screamer~Peter Bonerz~Shana Goldberg-Meehan & Scott Silveri~April 24, 1997~465272.0~22.63~3~~11.9/37~~
68~71~23~The One With Ross'S Thing~Shelley Jensen~Ted Cohen & Andrew Reich~May 1, 1997~465274.0~24.17~3~~12.9/39~~
69~72~24~The One With The Ultimate Fighting Champion~Robby Benson~Story by : Pang-Ni Landrum & Mark KunerthTeleplay by : Shana Goldberg-Meehan & Scott Silveri~May 8, 1997~465273.0~23.07~3~~12.2/38~~
70~73~25~The One At The Beach~Pamela Fryman~Story by : Pang-Ni Landrum & Mark KunerthTeleplay by : Adam Chase~May 15, 1997~465275.0~23.39~3~~~~
